Datetime,Mission ID,Mission,Mission Attempt,Doll Type,Doll Name,Doll Rarity,Doll Core,Equip Type,Equip Name,Equip Rarity
2022-02-20 14:04:33,10521,Tide of Blood,0,HG,M1911,2,0,,,
2022-02-20 14:08:23,10521,Tide of Blood,0,SMG,PP-2000,2,0,,,
2022-02-20 14:10:02,10521,Tide of Blood,0,AR,Gr G3,2,0,,,
2022-02-20 14:54:46,10521,Tide of Blood,3,AR,Gr G3,2,0,,,
2022-02-20 15:08:20,10522,Trap of Espionage,1,HG,FF FNP9,2,0,,,
2022-02-20 15:08:46,10522,Trap of Espionage,1,SMG,Type64,2,0,,,
2022-02-20 15:09:13,10522,Trap of Espionage,1,HG,FF FNP9,2,0,,,
2022-02-20 15:10:03,10522,Trap of Espionage,1,AR,FF F2000,2,0,,,
2022-02-20 15:12:34,10520,Vortex of Secrets,1,RF,SKS,2,0,,,
