event_id,datetime,prize_id,prize
318,2022-01-26 20:58:46,810,Parts*100
318,2022-01-26 20:58:46,802,Manpower*200
318,2022-01-26 20:58:46,825,Quick Repair*1
318,2022-01-26 20:58:46,878,Memory Fragment*10
318,2022-01-26 20:58:46,840,Battery*30
318,2022-01-26 20:58:47,807,Rations*100
318,2022-01-26 20:58:47,801,Manpower*100
318,2022-01-26 20:58:47,830,Intermediate Training Data*20
318,2022-01-26 20:58:47,804,Ammo*100
318,2022-01-26 20:58:47,824,Quick Production*1
318,2022-01-26 20:58:47,824,Quick Production*1
318,2022-01-26 20:58:47,804,Ammo*100
318,2022-01-26 20:58:47,811,Parts*200
318,2022-01-26 20:58:47,811,Parts*200
318,2022-01-26 20:58:47,834,Advanced Training Data*30
318,2022-01-26 20:58:48,878,Memory Fragment*10
318,2022-01-26 20:58:48,824,Quick Production*1
318,2022-01-26 20:58:48,816,Enhancement Capsule*2
318,2022-01-26 20:58:48,811,Parts*200
318,2022-01-26 20:58:48,810,Parts*100
318,2022-01-26 20:58:48,827,Basic Training Data*20
318,2022-01-26 20:58:48,40156,prize-10040156
318,2022-01-26 20:58:48,816,Enhancement Capsule*2
318,2022-01-26 20:58:48,818,Enhancement Capsule*4
318,2022-01-26 20:58:48,920,Pure Sample
318,2022-01-26 20:58:50,919,Original Sample
318,2022-01-26 20:58:50,830,Intermediate Training Data*20
318,2022-01-26 20:58:50,804,Ammo*100
318,2022-01-26 20:58:50,816,Enhancement Capsule*2
318,2022-01-26 20:58:50,823,Equipment Contract*1
318,2022-01-26 20:58:50,839,Battery*20
318,2022-01-26 20:58:50,816,Enhancement Capsule*2
318,2022-01-26 20:58:50,829,Basic Training Data*40
318,2022-01-26 20:58:50,836,Calibration Ticket*10
318,2022-01-26 20:58:50,824,Quick Production*1
318,2022-01-26 20:58:51,830,Intermediate Training Data*20
318,2022-01-26 20:58:51,829,Basic Training Data*40
318,2022-01-26 20:58:51,840,Battery*30
318,2022-01-26 20:58:51,807,Rations*100
318,2022-01-26 20:58:51,805,Ammo*200
318,2022-01-26 20:58:51,40155,prize-10040155
318,2022-01-26 20:58:51,831,Intermediate Training Data*30
318,2022-01-26 20:58:51,824,Quick Production*1
318,2022-01-26 20:58:51,837,Calibration Ticket*20
318,2022-01-26 20:58:51,840,Battery*30
318,2022-01-27 20:33:20,823,Equipment Contract*1
318,2022-01-27 20:33:20,920,Pure Sample
318,2022-01-27 20:33:20,805,Ammo*200
318,2022-01-27 20:33:20,816,Enhancement Capsule*2
318,2022-01-27 20:33:20,811,Parts*200
318,2022-01-27 20:33:20,805,Ammo*200
318,2022-01-27 20:33:20,920,Pure Sample
318,2022-01-27 20:33:20,879,Memory Fragment*20
318,2022-01-27 20:33:20,878,Memory Fragment*10
318,2022-01-27 20:33:20,810,Parts*100
318,2022-01-27 20:33:22,830,Intermediate Training Data*20
318,2022-01-27 20:33:22,810,Parts*100
318,2022-01-27 20:33:22,816,Enhancement Capsule*2
318,2022-01-27 20:33:22,807,Rations*100
318,2022-01-27 20:33:22,827,Basic Training Data*20
318,2022-01-27 20:33:22,831,Intermediate Training Data*30
318,2022-01-27 20:33:22,807,Rations*100
318,2022-01-27 20:33:22,807,Rations*100
318,2022-01-27 20:33:22,809,Rations*300
318,2022-01-27 20:33:22,801,Manpower*100
318,2022-01-27 20:33:24,811,Parts*200
318,2022-01-27 20:33:24,825,Quick Repair*1
318,2022-01-27 20:33:24,878,Memory Fragment*10
318,2022-01-27 20:33:24,810,Parts*100
318,2022-01-27 20:33:24,920,Pure Sample
318,2022-01-27 20:33:24,830,Intermediate Training Data*20
318,2022-01-27 20:33:24,807,Rations*100
318,2022-01-27 20:33:24,806,Ammo*300
318,2022-01-27 20:33:24,816,Enhancement Capsule*2
318,2022-01-27 20:33:24,804,Ammo*100
318,2022-01-27 20:33:25,919,Original Sample
